
acacia; acacia#NN#acacia  is#VBZ#be  a#DT#a  genus#NN#genus  of#IN#of  shrubs#NNS#shrub  and#CC#and  trees#NNS#tree  belonging#VVG#belong  to#TO#to  the#DT#the  subfamily#NN#subfamily  mimosoideae#NNS#mimosoideae  of#IN#of  the#DT#the  family#NN#family  fabaceae#NNS#fabaceae  ,#,#,  first#RB#first  described#VVN#describe  in#IN#in  africa#NN#africa  by#IN#by  the#DT#the  swedish#JJ#Swedish  botanist#NN#botanist  carl#NN#carl  linnaeus#NN#linnaeus  in#IN#in  1773.#CD#@ord@  many#JJ#many  non-australian#JJ#non-australian  species#NNS#specie  tend#VVP#tend  to#TO#to  be#VB#be  thorny#JJ#thorny  ,#,#,  whereas#IN#whereas  the#DT#the  majority#NN#majority  of#IN#of  australian#JJ#Australian  acacias#NNS#acacia  are#VBP#be  not#RB#not  .#SENT#.  they#PP#they  are#VBP#be  pod-bearing#VVG#pod-bearing  ,#,#,  with#IN#with  sap#VV#sap  and#CC#and  leaves#VVZ#leave  typically#RB#typically  bearing#VVG#bear  large#JJ#large  amounts#NNS#amount  of#IN#of  tannins#NNS#tannin  .#SENT#.  the#DT#the  generic#JJ#generic  name#NN#name  derives#VVZ#derive  from#IN#from  u03b1u03bau03b1u03bau03afu03b1#JJ#u03b1u03bau03b1u03bau03afu03b1  (#(#(  akakia#NN#akakia  )#)#)  ,#,#,  the#DT#the  name#NN#name  given#VVN#give  by#IN#by  early#JJ#early  greek#NN#Greek  botanist-physician#JJ#botanist-physician  pedanius#NN#pedanius  dioscorides#NNS#dioscorides  (#(#(  ca#MD#ca  .#SENT#. 

accelerator; the#DT#the  .22#CD#@card@  accelerator#NN#accelerator  is#VBZ#be  a#DT#a  special#JJ#special  loading#NN#loading  of#IN#of  the#DT#the  .30-30#CD#@card@  ,#,#,  .308#CD#@card@  ,#,#,  and#CC#and  .30-06#CD#@card@  cartridges#NNS#cartridge  that#WDT#that  is#VBZ#be  manufactured#VVN#manufacture  by#IN#by  remington#NN#remington  .#SENT#.  it#PP#it  consists#VVZ#consist  of#IN#of  a#DT#a  sub-caliber#NN#sub-caliber  0.224-inch#NN#224-inch  (#(#(  0.0057#CD#@card@  m#NN#m  )#)#)  diameter#NN#diameter  bullet#NN#bullet  held#VVN#hold  in#IN#in  a#DT#a  .30-caliber#NN#30-caliber  7-grain#NP#7-grain  (#(#(  0.45#CD#@card@  g#NN#g  )#)#)  six-fingered#JJ#six-fingered  plastic#JJ#plastic  sabot#NN#sabot  with#IN#with  a#DT#a  hollowed#VVN#hollow  base#NN#base  .#SENT#.  the#DT#the  bullet#NN#bullet  separates#VVZ#separate  from#IN#from  the#DT#the  sabot#NN#sabot  approximately#RB#approximately  14#CD#@card@  inches#NNS#inch  (#(#(  360#CD#@card@  mm#NNS#mm  )#)#)  from#IN#from  the#DT#the  muzzle#NN#muzzle  .#SENT#.  the#DT#the  cartridge#NN#cartridge  allows#VVZ#allow  for#IN#for  using#VVG#use  a#DT#a  large-caliber#NN#large-caliber  rifle#NN#rifle  for#IN#for  varmint#NN#varmint  shooting#NN#shooting  ,#,#,  although#IN#although  the#DT#the  accuracy#NN#accuracy  is#VBZ#be  somewhat#RB#somewhat  diminished#VVN#diminish  .#SENT#. 

acorn; the#DT#the  acorn#NN#acorn  ,#,#,  or#CC#or  oak#NN#oak  nut#NN#nut  ,#,#,  is#VBZ#be  the#DT#the  nut#NN#nut  of#IN#of  the#DT#the  oaks#NNS#oak  and#CC#and  their#PP$#their  close#JJ#close  relatives#NNS#relative  .#SENT#.  it#PP#it  usually#RB#usually  contains#VVZ#contain  a#DT#a  single#JJ#single  seed#NN#seed  (#(#(  rarely#RB#rarely  two#CD#two  seeds#NNS#seed  )#)#)  ,#,#,  enclosed#VVN#enclose  in#IN#in  a#DT#a  tough#JJ#tough  ,#,#,  leathery#JJ#leathery  shell#NN#shell  ,#,#,  and#CC#and  borne#VVN#bear  in#IN#in  a#DT#a  cup-shaped#JJ#cup-shaped  cupule#NN#cupule  .#SENT#.  acorns#NNS#acorn  vary#VVP#vary  from#IN#from  1u20136#JJ#1u20136  cm#NN#cm  long#JJ#long  and#CC#and  0.8u20134#JJ#8u20134  cm#NN#cm  broad#JJ#broad  .#SENT#.  acorns#NNS#acorn  take#VVP#take  between#IN#between  about#RB#about  6#CD#6  or#CC#or  24#CD#@card@  months#NNS#month  (#(#(  depending#VVG#depend  on#IN#on  the#DT#the  species#NN#species  )#)#)  to#TO#to  mature#VV#mature  see#VV#see  list#NN#list  of#IN#of  quercus#JJ#quercus  species#NNS#specie  for#IN#for  details#NNS#detail  of#IN#of  oak#NN#oak  classification#NN#classification  ,#,#,  in#IN#in  which#WDT#which  acorn#NN#acorn  morphology#NN#morphology  and#CC#and  phenology#NN#phenology  are#VBP#be  important#JJ#important  factors#NNS#factor  .#SENT#. 

aircraft; an#DT#an  aircraft#NN#aircraft  is#VBZ#be  a#DT#a  vehicle#NN#vehicle  which#WDT#which  is#VBZ#be  able#JJ#able  to#TO#to  fly#VV#fly  by#IN#by  being#VBG#be  supported#VVN#support  by#IN#by  the#DT#the  air#NN#air  ,#,#,  or#CC#or  in#IN#in  general#NN#general  ,#,#,  the#DT#the  atmosphere#NN#atmosphere  of#IN#of  a#DT#a  planet#NN#planet  .#SENT#.  an#DT#an  aircraft#NN#aircraft  counters#NNS#counter  the#DT#the  force#NN#force  of#IN#of  gravity#NN#gravity  by#IN#by  using#VVG#use  either#DT#either  static#JJ#static  lift#NN#lift  or#CC#or  by#IN#by  using#VVG#use  the#DT#the  dynamic#JJ#dynamic  lift#NN#lift  of#IN#of  an#DT#an  airfoil#NN#airfoil  ,#,#,  or#CC#or  in#IN#in  a#DT#a  few#JJ#few  cases#NNS#case  the#DT#the  downward#JJ#downward  thrust#NN#thrust  from#IN#from  jet#NN#jet  engines#NNS#engine  .#SENT#.  although#IN#although  rockets#NNS#rocket  and#CC#and  missiles#NNS#missile  also#RB#also  travel#VVP#travel  through#IN#through  the#DT#the  atmosphere#NN#atmosphere  ,#,#,  most#JJS#most  are#VBP#be  not#RB#not  considered#VVN#consider  aircraft#NN#aircraft  because#IN#because  they#PP#they  use#VVP#use  rocket#NN#rocket  thrust#NN#thrust  instead#RB#instead  of#IN#of  aerodynamics#NNS#aerodynamics  as#IN#as  the#DT#the  primary#JJ#primary  means#NN#means  of#IN#of  lift#NN#lift  .#SENT#. 

airplane; airplane#NN#airplane  !#SENT#!  is#VBZ#be  a#DT#a  1980#CD#@card@  american#NN#American  satirical#JJ#satirical  comedy#NN#comedy  film#NN#film  directed#VVN#direct  and#CC#and  written#VVN#write  by#IN#by  david#JJ#david  zucker#NN#zucker  ,#,#,  jim#NN#jim  abrahams#NNS#abrahams  ,#,#,  and#CC#and  jerry#NN#jerry  zucker#NN#zucker  and#CC#and  released#VVN#release  by#IN#by  paramount#JJ#paramount  pictures#NNS#picture  .#SENT#.  it#PP#it  stars#VVZ#star  robert#NN#robert  hays#NNS#hay  and#CC#and  julie#NN#julie  hagerty#NN#hagerty  and#CC#and  features#VVZ#feature  leslie#NN#leslie  nielsen#NN#nielsen  ,#,#,  robert#NNS#robert  stack#VV#stack  ,#,#,  lloyd#NN#Lloyd  bridges#NNS#bridge  ,#,#,  peter#NN#peter  graves#NNS#grave  ,#,#,  kareem#NN#kareem  abdul-jabbar#NN#abdul-jabbar  ,#,#,  and#CC#and  lorna#NN#lorna  patterson#NN#patterson  .#SENT#.  the#DT#the  film#NN#film  is#VBZ#be  a#DT#a  spoof#NN#spoof  of#IN#of  the#DT#the  disaster#NN#disaster  film#NN#film  genre#NN#genre  ,#,#,  and#CC#and  a#DT#a  satirical#JJ#satirical  remake#VV#remake  of#IN#of  the#DT#the  1957#CD#@card@  paramount#JJ#paramount  film#NN#film  zero#NN#zero  hour#NN#hour  !#SENT#!  .#SENT#.  the#DT#the  film#NN#film  is#VBZ#be  well-noted#VVN#well-noted  for#IN#for  its#PP$#its  use#NN#use  of#IN#of  absurdist#NN#absurdist  and#CC#and  surrealist#JJ#surrealist  comedy#NN#comedy  .#SENT#. 

